sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,status
30,62.0,67.0,58.0,77.0,51.29,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
31,64.0,73.5,73.0,52.0,56.7,250000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
32,67.0,53.0,65.0,64.0,58.32,,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
33,61.0,81.0,66.4,50.89,62.21,278000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
34,87.0,65.0,81.0,88.0,72.78,260000.0,F,Others,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
35,62.0,51.0,52.0,68.44,62.77,,M,Others,Others,Science,Others,No,Mkt&HR,Not Placed
36,69.0,78.0,72.0,71.0,62.74,300000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
37,51.0,44.0,57.0,64.0,51.45,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
38,79.0,76.0,65.6,58.0,55.47,320000.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Placed
39,73.0,58.0,66.0,53.7,56.86,240000.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
40,81.0,68.0,64.0,93.0,62.56,411000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
41,78.0,77.0,80.0,60.0,66.72,287000.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
42,74.0,63.16,65.0,65.0,69.76,,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
43,49.0,39.0,65.0,63.0,51.21,,M,Others,Central,Science,Others,No,Mkt&Fin,Not Placed
44,87.0,87.0,68.0,95.0,62.9,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
45,77.0,73.0,81.0,89.0,69.7,200000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
46,76.0,64.0,72.0,58.0,66.53,,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
47,70.89,71.98,65.6,68.0,71.63,,F,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
48,63.0,60.0,57.0,78.0,54.55,204000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
49,63.0,62.0,68.0,64.0,62.46,250000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
50,50.0,37.0,52.0,65.0,56.11,,F,Others,Others,Arts,Others,No,Mkt&HR,Not Placed
51,75.2,73.2,68.4,65.0,62.98,200000.0,F,Central,Central,Science,Comm&Mgmt,No,Mkt&HR,Placed
52,54.4,61.12,56.2,67.0,62.65,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
53,40.89,45.83,53.0,71.2,65.49,,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
54,80.0,70.0,72.0,87.0,71.04,450000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
55,74.0,60.0,69.0,78.0,65.56,216000.0,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
56,60.4,66.6,65.0,71.0,52.71,220000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
57,63.0,71.4,61.4,68.0,66.88,240000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
58,68.0,76.0,74.0,80.0,63.59,360000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
59,74.0,62.0,68.0,74.0,57.99,268000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&Fin,Placed
60,52.6,65.58,72.11,57.6,56.66,265000.0,M,Central,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
61,74.0,70.0,72.0,60.0,57.24,260000.0,M,Central,Central,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
62,84.2,73.4,66.89,61.6,62.48,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
63,86.5,64.2,67.4,59.0,59.69,240000.0,F,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
64,61.0,70.0,64.0,68.5,59.5,,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
65,80.0,73.0,75.0,61.0,58.78,240000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
66,54.0,47.0,57.0,89.69,57.1,,M,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
67,83.0,74.0,66.0,68.92,58.46,275000.0,M,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
68,80.92,78.5,67.0,68.71,60.99,275000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
69,69.7,47.0,72.7,79.0,59.24,,F,Central,Central,Commerce,Sci&Tech,No,Mkt&HR,Not Placed
70,73.0,73.0,66.0,70.0,68.07,275000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
71,82.0,61.0,62.0,89.0,65.45,360000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
72,75.0,70.29,71.0,95.0,66.94,240000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
73,84.86,67.0,78.0,95.5,68.53,240000.0,M,Others,Others,Science,Comm&Mgmt,No,Mkt&Fin,Placed
74,64.6,83.83,71.72,86.0,59.75,218000.0,M,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
75,56.6,64.8,70.2,84.27,67.2,336000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
76,59.0,62.0,77.5,74.0,67.0,,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
77,66.5,70.4,71.93,61.0,64.27,230000.0,F,Others,Central,Arts,Comm&Mgmt,No,Mkt&Fin,Placed
78,64.0,80.0,65.0,69.0,57.65,500000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
79,84.0,90.9,64.5,86.04,59.42,270000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
80,69.0,62.0,66.0,75.0,67.99,,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
81,69.0,62.0,69.0,67.0,62.35,240000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
82,81.7,63.0,67.0,86.0,70.2,300000.0,M,Others,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
83,63.0,67.0,74.0,82.0,60.44,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
84,84.0,79.0,68.0,84.0,66.69,300000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
85,70.0,63.0,70.0,55.0,62.0,300000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
86,83.84,89.83,77.2,78.74,76.18,400000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
87,62.0,63.0,64.0,67.0,57.03,220000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
88,59.6,51.0,60.0,75.0,59.08,,M,Central,Central,Science,Others,No,Mkt&HR,Not Placed
89,66.0,62.0,73.0,58.0,64.36,210000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
90,84.0,75.0,69.0,62.0,62.36,210000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&HR,Placed
91,85.0,90.0,82.0,92.0,68.03,300000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
92,52.0,57.0,50.8,67.0,62.79,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
93,60.23,69.0,66.0,72.0,59.47,230000.0,F,Central,Central,Science,Comm&Mgmt,No,Mkt&Fin,Placed
94,52.0,62.0,54.0,72.0,55.41,,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
95,58.0,62.0,64.0,53.88,54.97,260000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
96,73.0,78.0,65.0,95.46,62.16,420000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
97,76.0,70.0,76.0,66.0,64.44,300000.0,F,Central,Central,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
98,70.5,62.5,61.0,93.91,69.03,,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
99,69.0,73.0,65.0,70.0,57.31,220000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
100,54.0,82.0,63.0,50.0,59.47,,M,Central,Others,Commerce,Sci&Tech,No,Mkt&Fin,Not Placed
101,45.0,57.0,58.0,56.39,64.95,,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
102,63.0,72.0,68.0,78.0,60.44,380000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
103,77.0,61.0,68.0,57.5,61.31,300000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
104,73.0,78.0,73.0,85.0,65.83,240000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
105,69.0,63.0,65.0,55.0,58.23,360000.0,M,Central,Others,Science,Comm&Mgmt,Yes,Mkt&HR,Placed
106,59.0,64.0,58.0,85.0,55.3,,M,Central,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
107,61.08,50.0,54.0,71.0,65.69,,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Not Placed
108,82.0,90.0,83.0,80.0,73.52,200000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
109,61.0,82.0,69.0,84.0,58.31,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
110,52.0,63.0,65.0,86.0,56.09,,M,Central,Others,Science,Sci&Tech,Yes,Mkt&HR,Not Placed
111,69.5,70.0,72.0,57.2,54.8,250000.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Placed
112,51.0,54.0,61.0,60.0,60.64,,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
113,58.0,61.0,61.0,58.0,53.94,250000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
114,73.96,79.0,67.0,72.15,63.08,280000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
115,65.0,68.0,69.0,53.7,55.01,250000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
116,73.0,63.0,66.0,89.0,60.5,216000.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&Fin,Placed
117,68.2,72.8,66.6,96.0,70.85,300000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
118,77.0,75.0,73.0,80.0,67.05,240000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
119,76.0,80.0,78.0,97.0,70.48,276000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
120,60.8,68.4,64.6,82.66,64.34,940000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
121,58.0,40.0,59.0,73.0,58.81,,M,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
122,64.0,67.0,69.6,55.67,71.49,250000.0,F,Central,Others,Science,Sci&Tech,Yes,Mkt&HR,Placed
123,66.5,66.8,69.3,80.4,71.0,236000.0,F,Central,Central,Arts,Comm&Mgmt,Yes,Mkt&Fin,Placed
124,74.0,59.0,73.0,60.0,56.7,240000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
125,67.0,71.0,64.33,64.0,61.26,250000.0,M,Central,Central,Science,Others,Yes,Mkt&HR,Placed
126,84.0,73.0,73.0,75.0,73.33,350000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
127,79.0,61.0,75.5,70.0,68.2,210000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
128,72.0,60.0,69.0,55.5,58.4,250000.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
129,80.4,73.4,77.72,81.2,76.26,400000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
130,76.7,89.7,66.0,90.0,68.55,250000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
131,62.0,65.0,60.0,84.0,64.15,,M,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
132,74.9,57.0,62.0,80.0,60.78,360000.0,F,Others,Others,Science,Others,Yes,Mkt&Fin,Placed
133,67.0,68.0,64.0,74.4,53.49,300000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
134,73.0,64.0,77.0,65.0,60.98,250000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
135,77.44,92.0,72.0,94.0,67.13,250000.0,F,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
136,72.0,56.0,69.0,55.6,65.63,200000.0,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
137,47.0,59.0,64.0,78.0,61.58,,F,Central,Central,Arts,Comm&Mgmt,No,Mkt&Fin,Not Placed
138,67.0,63.0,72.0,56.0,60.41,225000.0,M,Others,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
139,82.0,64.0,73.0,96.0,71.77,250000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
140,77.0,70.0,59.0,58.0,54.43,220000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
141,65.0,64.8,69.5,56.0,56.94,265000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
142,66.0,64.0,60.0,60.0,61.9,,M,Central,Central,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
143,85.0,60.0,73.43,60.0,61.29,260000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
144,77.67,64.89,70.67,89.0,60.39,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
145,52.0,50.0,61.0,60.0,58.52,,M,Others,Others,Arts,Comm&Mgmt,No,Mkt&Fin,Not Placed
146,89.4,65.66,71.25,72.0,63.23,400000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
147,62.0,63.0,66.0,85.0,55.14,233000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
148,70.0,74.0,65.0,83.0,62.28,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
149,77.0,86.0,56.0,57.0,64.08,240000.0,F,Central,Central,Arts,Others,No,Mkt&Fin,Placed
150,44.0,58.0,55.0,64.25,58.54,,M,Central,Central,Arts,Comm&Mgmt,Yes,Mkt&HR,Not Placed
151,71.0,58.66,58.0,56.0,61.3,690000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
152,65.0,65.0,75.0,83.0,58.87,270000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
153,75.4,60.5,84.0,98.0,65.25,240000.0,F,Others,Central,Science,Sci&Tech,No,Mkt&Fin,Placed
154,49.0,59.0,65.0,86.0,62.48,340000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
155,53.0,63.0,60.0,70.0,53.2,250000.0,M,Central,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
156,51.57,74.66,59.9,56.15,65.99,,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
157,84.2,69.4,65.0,80.0,52.72,255000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
158,66.5,62.5,60.9,93.4,55.03,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
159,67.0,63.0,64.0,60.0,61.87,,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Not Placed
160,52.0,49.0,58.0,62.0,60.59,,M,Central,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
161,87.0,74.0,65.0,75.0,72.29,300000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
162,55.6,51.0,57.5,57.63,62.72,,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
163,74.2,87.6,77.25,75.2,66.06,285000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
164,63.0,67.0,64.0,75.0,66.46,500000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
165,67.16,72.5,63.35,53.04,65.52,250000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
166,63.3,78.33,74.0,80.0,74.56,,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
167,62.0,62.0,60.0,63.0,52.38,240000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
168,67.9,62.0,67.0,58.1,75.71,,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Not Placed
169,48.0,51.0,58.0,60.0,58.79,,F,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
170,59.96,42.16,61.26,54.48,65.48,,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
171,63.4,67.2,60.0,58.06,69.28,,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
172,80.0,80.0,72.0,63.79,66.04,290000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
173,73.0,58.0,56.0,84.0,52.64,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
174,52.0,52.0,55.0,67.0,59.32,,F,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
175,73.24,50.83,64.27,64.0,66.23,500000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
176,63.0,62.0,65.0,87.5,60.69,,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
177,59.0,60.0,56.0,55.0,57.9,220000.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
178,73.0,97.0,79.0,89.0,70.81,650000.0,F,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
179,68.0,56.0,68.0,73.0,68.07,350000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
180,77.8,64.0,64.2,75.5,72.14,,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
181,65.0,71.5,62.8,57.0,56.6,265000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
182,62.0,60.33,64.21,63.0,60.02,,M,Central,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
183,52.0,65.0,57.0,75.0,59.81,,M,Others,Others,Arts,Others,Yes,Mkt&Fin,Not Placed
184,65.0,77.0,69.0,60.0,61.82,276000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
185,56.28,62.83,59.79,60.0,57.29,,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
186,88.0,72.0,78.0,82.0,71.43,252000.0,F,Central,Central,Science,Others,No,Mkt&HR,Placed
187,52.0,64.0,61.0,55.0,62.93,,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
188,78.5,65.5,67.0,95.0,64.86,280000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
189,61.8,47.0,54.38,57.0,56.13,,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
190,54.0,77.6,69.2,95.65,66.94,,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
191,64.0,70.2,61.0,50.0,62.5,,F,Others,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
192,67.0,61.0,72.0,72.0,61.01,264000.0,M,Others,Central,Science,Comm&Mgmt,No,Mkt&Fin,Placed
193,65.2,61.4,64.8,93.4,57.34,270000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
194,60.0,63.0,56.0,80.0,56.63,300000.0,F,Central,Central,Arts,Others,Yes,Mkt&HR,Placed
195,52.0,55.0,56.3,59.0,64.74,,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
196,66.0,76.0,72.0,84.0,58.95,275000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
197,72.0,63.0,77.5,78.0,54.48,250000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
198,83.96,53.0,91.0,59.32,69.71,260000.0,F,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
199,67.0,70.0,65.0,88.0,71.96,,F,Central,Central,Commerce,Others,No,Mkt&HR,Not Placed
200,69.0,65.0,57.0,73.0,55.8,265000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
201,69.0,60.0,65.0,87.55,52.81,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
202,54.2,63.0,58.0,79.0,58.44,,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
203,70.0,63.0,66.0,61.28,60.11,240000.0,M,Central,Central,Science,Sci&Tech,No,Mkt&HR,Placed
204,55.68,61.33,56.87,66.0,58.3,260000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
205,74.0,73.0,73.0,80.0,67.69,210000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
206,61.0,62.0,65.0,62.0,56.81,250000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
207,41.0,42.0,60.0,97.0,53.39,,M,Central,Central,Science,Comm&Mgmt,No,Mkt&Fin,Not Placed
208,83.33,78.0,61.0,88.56,71.55,300000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
209,43.0,60.0,65.0,92.66,62.92,,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
210,62.0,72.0,65.0,67.0,56.49,216000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
211,80.6,82.0,77.6,91.0,74.49,400000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
212,58.0,60.0,72.0,74.0,53.62,275000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
213,67.0,67.0,73.0,59.0,69.72,295000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
214,74.0,66.0,58.0,70.0,60.23,204000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
215,62.0,58.0,53.0,89.0,60.22,,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
