,sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,status
79,80.0,69.0,62.0,66.0,75.0,67.99,0.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
80,81.0,69.0,62.0,69.0,67.0,62.35,240000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
81,82.0,81.7,63.0,67.0,86.0,70.2,300000.0,M,Others,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
82,83.0,63.0,67.0,74.0,82.0,60.44,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
83,84.0,84.0,79.0,68.0,84.0,66.69,300000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
84,85.0,70.0,63.0,70.0,55.0,62.0,300000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
85,86.0,83.84,89.83,77.2,78.74,76.18,400000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
86,87.0,62.0,63.0,64.0,67.0,57.03,220000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
87,88.0,59.6,51.0,60.0,75.0,59.08,0.0,M,Central,Central,Science,Others,No,Mkt&HR,Not Placed
88,89.0,66.0,62.0,73.0,58.0,64.36,210000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
89,90.0,84.0,75.0,69.0,62.0,62.36,210000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&HR,Placed
90,91.0,85.0,90.0,82.0,92.0,68.03,300000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
91,92.0,52.0,57.0,50.8,67.0,62.79,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
92,93.0,60.23,69.0,66.0,72.0,59.47,230000.0,F,Central,Central,Science,Comm&Mgmt,No,Mkt&Fin,Placed
93,94.0,52.0,62.0,54.0,72.0,55.41,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
94,95.0,58.0,62.0,64.0,53.88,54.97,260000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
95,96.0,73.0,78.0,65.0,95.46,62.16,420000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
96,97.0,76.0,70.0,76.0,66.0,64.44,300000.0,F,Central,Central,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
97,98.0,70.5,62.5,61.0,93.91,69.03,0.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
98,99.0,69.0,73.0,65.0,70.0,57.31,220000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
99,100.0,54.0,82.0,63.0,50.0,59.47,0.0,M,Central,Others,Commerce,Sci&Tech,No,Mkt&Fin,Not Placed
100,101.0,45.0,57.0,58.0,56.39,64.95,0.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
101,102.0,63.0,72.0,68.0,78.0,60.44,380000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
102,103.0,77.0,61.0,68.0,57.5,61.31,300000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
103,104.0,73.0,78.0,73.0,85.0,65.83,240000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
104,105.0,69.0,63.0,65.0,55.0,58.23,360000.0,M,Central,Others,Science,Comm&Mgmt,Yes,Mkt&HR,Placed
105,106.0,59.0,64.0,58.0,85.0,55.3,0.0,M,Central,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
106,107.0,61.08,50.0,54.0,71.0,65.69,0.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Not Placed
107,108.0,82.0,90.0,83.0,80.0,73.52,200000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
108,109.0,61.0,82.0,69.0,84.0,58.31,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
109,110.0,52.0,63.0,65.0,86.0,56.09,0.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&HR,Not Placed
110,111.0,69.5,70.0,72.0,57.2,54.8,250000.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Placed
111,112.0,51.0,54.0,61.0,60.0,60.64,0.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
112,113.0,58.0,61.0,61.0,58.0,53.94,250000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
113,114.0,73.96,79.0,67.0,72.15,63.08,280000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
114,115.0,65.0,68.0,69.0,53.7,55.01,250000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
115,116.0,73.0,63.0,66.0,89.0,60.5,216000.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&Fin,Placed
116,117.0,68.2,72.8,66.6,96.0,70.85,300000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
117,118.0,77.0,75.0,73.0,80.0,67.05,240000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
118,119.0,76.0,80.0,78.0,97.0,70.48,276000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
119,120.0,60.8,68.4,64.6,82.66,64.34,940000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
120,121.0,58.0,40.0,59.0,73.0,58.81,0.0,M,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
121,122.0,64.0,67.0,69.6,55.67,71.49,250000.0,F,Central,Others,Science,Sci&Tech,Yes,Mkt&HR,Placed
122,123.0,66.5,66.8,69.3,80.4,71.0,236000.0,F,Central,Central,Arts,Comm&Mgmt,Yes,Mkt&Fin,Placed
123,124.0,74.0,59.0,73.0,60.0,56.7,240000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
124,125.0,67.0,71.0,64.33,64.0,61.26,250000.0,M,Central,Central,Science,Others,Yes,Mkt&HR,Placed
125,126.0,84.0,73.0,73.0,75.0,73.33,350000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
126,127.0,79.0,61.0,75.5,70.0,68.2,210000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
127,128.0,72.0,60.0,69.0,55.5,58.4,250000.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
128,129.0,80.4,73.4,77.72,81.2,76.26,400000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
129,130.0,76.7,89.7,66.0,90.0,68.55,250000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
130,131.0,62.0,65.0,60.0,84.0,64.15,0.0,M,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
131,132.0,74.9,57.0,62.0,80.0,60.78,360000.0,F,Others,Others,Science,Others,Yes,Mkt&Fin,Placed
132,133.0,67.0,68.0,64.0,74.4,53.49,300000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
133,134.0,73.0,64.0,77.0,65.0,60.98,250000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
134,135.0,77.44,92.0,72.0,94.0,67.13,250000.0,F,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
135,136.0,72.0,56.0,69.0,55.6,65.63,200000.0,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
136,137.0,47.0,59.0,64.0,78.0,61.58,0.0,F,Central,Central,Arts,Comm&Mgmt,No,Mkt&Fin,Not Placed
137,138.0,67.0,63.0,72.0,56.0,60.41,225000.0,M,Others,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
138,139.0,82.0,64.0,73.0,96.0,71.77,250000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
139,140.0,77.0,70.0,59.0,58.0,54.43,220000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
140,141.0,65.0,64.8,69.5,56.0,56.94,265000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
141,142.0,66.0,64.0,60.0,60.0,61.9,0.0,M,Central,Central,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
142,143.0,85.0,60.0,73.43,60.0,61.29,260000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
143,144.0,77.67,64.89,70.67,89.0,60.39,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
144,145.0,52.0,50.0,61.0,60.0,58.52,0.0,M,Others,Others,Arts,Comm&Mgmt,No,Mkt&Fin,Not Placed
145,146.0,89.4,65.66,71.25,72.0,63.23,400000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
146,147.0,62.0,63.0,66.0,85.0,55.14,233000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
147,148.0,70.0,74.0,65.0,83.0,62.28,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
148,149.0,77.0,86.0,56.0,57.0,64.08,240000.0,F,Central,Central,Arts,Others,No,Mkt&Fin,Placed
149,150.0,44.0,58.0,55.0,64.25,58.54,0.0,M,Central,Central,Arts,Comm&Mgmt,Yes,Mkt&HR,Not Placed
150,151.0,71.0,58.66,58.0,56.0,61.3,690000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
151,152.0,65.0,65.0,75.0,83.0,58.87,270000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
152,153.0,75.4,60.5,84.0,98.0,65.25,240000.0,F,Others,Central,Science,Sci&Tech,No,Mkt&Fin,Placed
153,154.0,49.0,59.0,65.0,86.0,62.48,340000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
154,155.0,53.0,63.0,60.0,70.0,53.2,250000.0,M,Central,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
155,156.0,51.57,74.66,59.9,56.15,65.99,0.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
156,157.0,84.2,69.4,65.0,80.0,52.72,255000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
157,158.0,66.5,62.5,60.9,93.4,55.03,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
158,159.0,67.0,63.0,64.0,60.0,61.87,0.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Not Placed
159,160.0,52.0,49.0,58.0,62.0,60.59,0.0,M,Central,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
160,161.0,87.0,74.0,65.0,75.0,72.29,300000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
161,162.0,55.6,51.0,57.5,57.63,62.72,0.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
162,163.0,74.2,87.6,77.25,75.2,66.06,285000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
163,164.0,63.0,67.0,64.0,75.0,66.46,500000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
164,165.0,67.16,72.5,63.35,53.04,65.52,250000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
165,166.0,63.3,78.33,74.0,80.0,74.56,0.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
166,167.0,62.0,62.0,60.0,63.0,52.38,240000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
167,168.0,67.9,62.0,67.0,58.1,75.71,0.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Not Placed
168,169.0,48.0,51.0,58.0,60.0,58.79,0.0,F,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
169,170.0,59.96,42.16,61.26,54.48,65.48,0.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
170,171.0,63.4,67.2,60.0,58.06,69.28,0.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
171,172.0,80.0,80.0,72.0,63.79,66.04,290000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
172,173.0,73.0,58.0,56.0,84.0,52.64,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
173,174.0,52.0,52.0,55.0,67.0,59.32,0.0,F,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
174,175.0,73.24,50.83,64.27,64.0,66.23,500000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
175,176.0,63.0,62.0,65.0,87.5,60.69,0.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
176,177.0,59.0,60.0,56.0,55.0,57.9,220000.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
177,178.0,73.0,97.0,79.0,89.0,70.81,650000.0,F,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
178,179.0,68.0,56.0,68.0,73.0,68.07,350000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
179,180.0,77.8,64.0,64.2,75.5,72.14,0.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
180,181.0,65.0,71.5,62.8,57.0,56.6,265000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
181,182.0,62.0,60.33,64.21,63.0,60.02,0.0,M,Central,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
182,183.0,52.0,65.0,57.0,75.0,59.81,0.0,M,Others,Others,Arts,Others,Yes,Mkt&Fin,Not Placed
183,184.0,65.0,77.0,69.0,60.0,61.82,276000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
184,185.0,56.28,62.83,59.79,60.0,57.29,0.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
185,186.0,88.0,72.0,78.0,82.0,71.43,252000.0,F,Central,Central,Science,Others,No,Mkt&HR,Placed
186,187.0,52.0,64.0,61.0,55.0,62.93,0.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
187,188.0,78.5,65.5,67.0,95.0,64.86,280000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
188,189.0,61.8,47.0,54.38,57.0,56.13,0.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
189,190.0,54.0,77.6,69.2,95.65,66.94,0.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
190,191.0,64.0,70.2,61.0,50.0,62.5,0.0,F,Others,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
191,192.0,67.0,61.0,72.0,72.0,61.01,264000.0,M,Others,Central,Science,Comm&Mgmt,No,Mkt&Fin,Placed
192,193.0,65.2,61.4,64.8,93.4,57.34,270000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
193,194.0,60.0,63.0,56.0,80.0,56.63,300000.0,F,Central,Central,Arts,Others,Yes,Mkt&HR,Placed
194,195.0,52.0,55.0,56.3,59.0,64.74,0.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
195,196.0,66.0,76.0,72.0,84.0,58.95,275000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
196,197.0,72.0,63.0,77.5,78.0,54.48,250000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
197,198.0,83.96,53.0,91.0,59.32,69.71,260000.0,F,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
198,199.0,67.0,70.0,65.0,88.0,71.96,0.0,F,Central,Central,Commerce,Others,No,Mkt&HR,Not Placed
199,200.0,69.0,65.0,57.0,73.0,55.8,265000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
200,201.0,69.0,60.0,65.0,87.55,52.81,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
201,202.0,54.2,63.0,58.0,79.0,58.44,0.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
202,203.0,70.0,63.0,66.0,61.28,60.11,240000.0,M,Central,Central,Science,Sci&Tech,No,Mkt&HR,Placed
203,204.0,55.68,61.33,56.87,66.0,58.3,260000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
